dataset,system,gold,prediction,count
AVeriTeC,panel_3judge_4opt_strong,refute,support,1
AVeriTeC,panel_3judge_4opt_strong,refute,refute,41
AVeriTeC,panel_3judge_4opt_strong,refute,insufficient,1
AVeriTeC,panel_3judge_4opt_strong,refute,conflicting,7
AVeriTeC,panel_3judge_4opt_strong,refute,parse_failure,0
AVeriTeC,panel_3judge_4opt_strong,insufficient,support,0
AVeriTeC,panel_3judge_4opt_strong,insufficient,refute,6
AVeriTeC,panel_3judge_4opt_strong,insufficient,insufficient,24
AVeriTeC,panel_3judge_4opt_strong,insufficient,conflicting,5
AVeriTeC,panel_3judge_4opt_strong,insufficient,parse_failure,0
AVeriTeC,panel_3judge_4opt_strong,conflicting,support,4
AVeriTeC,panel_3judge_4opt_strong,conflicting,refute,24
AVeriTeC,panel_3judge_4opt_strong,conflicting,insufficient,6
AVeriTeC,panel_3judge_4opt_strong,conflicting,conflicting,116
AVeriTeC,panel_3judge_4opt_strong,conflicting,parse_failure,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,support,support,33
AVeriTeC,panel_member_4opt::claude-haiku-4-5,support,refute,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,support,insufficient,8
AVeriTeC,panel_member_4opt::claude-haiku-4-5,support,conflicting,9
AVeriTeC,panel_member_4opt::claude-haiku-4-5,support,parse_failure,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,refute,support,1
AVeriTeC,panel_member_4opt::claude-haiku-4-5,refute,refute,40
AVeriTeC,panel_member_4opt::claude-haiku-4-5,refute,insufficient,3
AVeriTeC,panel_member_4opt::claude-haiku-4-5,refute,conflicting,6
AVeriTeC,panel_member_4opt::claude-haiku-4-5,refute,parse_failure,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,insufficient,support,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,insufficient,refute,8
AVeriTeC,panel_member_4opt::claude-haiku-4-5,insufficient,insufficient,23
AVeriTeC,panel_member_4opt::claude-haiku-4-5,insufficient,conflicting,4
AVeriTeC,panel_member_4opt::claude-haiku-4-5,insufficient,parse_failure,0
AVeriTeC,panel_member_4opt::claude-haiku-4-5,conflicting,support,5
AVeriTeC,panel_member_4opt::claude-haiku-4-5,conflicting,refute,38
AVeriTeC,panel_member_4opt::claude-haiku-4-5,conflicting,insufficient,9
AVeriTeC,panel_member_4opt::claude-haiku-4-5,conflicting,conflicting,98
AVeriTeC,panel_member_4opt::claude-haiku-4-5,conflicting,parse_failure,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,support,support,37
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,support,refute,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,support,insufficient,4
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,support,conflicting,9
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,support,parse_failure,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,refute,support,1
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,refute,refute,41
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,refute,insufficient,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,refute,conflicting,8
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,refute,parse_failure,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,insufficient,support,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,insufficient,refute,7
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,insufficient,insufficient,22
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,insufficient,conflicting,6
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,insufficient,parse_failure,0
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,conflicting,support,8
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,conflicting,refute,22
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,conflicting,insufficient,5
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,conflicting,conflicting,113
AVeriTeC,panel_member_4opt::claude-sonnet-4-5,conflicting,parse_failure,2
AVeriTeC,panel_member_4opt::gpt-4o-mini,support,support,40
AVeriTeC,panel_member_4opt::gpt-4o-mini,support,refute,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,support,insufficient,3
AVeriTeC,panel_member_4opt::gpt-4o-mini,support,conflicting,7
AVeriTeC,panel_member_4opt::gpt-4o-mini,support,parse_failure,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,refute,support,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,refute,refute,42
AVeriTeC,panel_member_4opt::gpt-4o-mini,refute,insufficient,2
AVeriTeC,panel_member_4opt::gpt-4o-mini,refute,conflicting,6
AVeriTeC,panel_member_4opt::gpt-4o-mini,refute,parse_failure,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,insufficient,support,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,insufficient,refute,7
AVeriTeC,panel_member_4opt::gpt-4o-mini,insufficient,insufficient,21
AVeriTeC,panel_member_4opt::gpt-4o-mini,insufficient,conflicting,7
AVeriTeC,panel_member_4opt::gpt-4o-mini,insufficient,parse_failure,0
AVeriTeC,panel_member_4opt::gpt-4o-mini,conflicting,support,10
AVeriTeC,panel_member_4opt::gpt-4o-mini,conflicting,refute,26
AVeriTeC,panel_member_4opt::gpt-4o-mini,conflicting,insufficient,4
AVeriTeC,panel_member_4opt::gpt-4o-mini,conflicting,conflicting,110
AVeriTeC,panel_member_4opt::gpt-4o-mini,conflicting,parse_failure,0
VitaminC-Mixed,single_haiku_3opt,support,support,39
VitaminC-Mixed,single_haiku_3opt,support,refute,6
VitaminC-Mixed,single_haiku_3opt,support,insufficient,5
VitaminC-Mixed,single_haiku_3opt,support,conflicting,0
VitaminC-Mixed,single_haiku_3opt,support,parse_failure,0
VitaminC-Mixed,single_haiku_3opt,refute,support,2
VitaminC-Mixed,single_haiku_3opt,refute,refute,36
VitaminC-Mixed,single_haiku_3opt,refute,insufficient,12
VitaminC-Mixed,single_haiku_3opt,refute,conflicting,0
VitaminC-Mixed,single_haiku_3opt,refute,parse_failure,0
VitaminC-Mixed,single_haiku_3opt,insufficient,support,17
VitaminC-Mixed,single_haiku_3opt,insufficient,refute,10
VitaminC-Mixed,single_haiku_3opt,insufficient,insufficient,23
VitaminC-Mixed,single_haiku_3opt,insufficient,conflicting,0
VitaminC-Mixed,single_haiku_3opt,insufficient,parse_failure,0
VitaminC-Mixed,single_haiku_3opt,conflicting,support,53
VitaminC-Mixed,single_haiku_3opt,conflicting,refute,24
VitaminC-Mixed,single_haiku_3opt,conflicting,insufficient,23
VitaminC-Mixed,single_haiku_3opt,conflicting,conflicting,0
VitaminC-Mixed,single_haiku_3opt,conflicting,parse_failure,0
VitaminC-Mixed,single_haiku_4opt_strong,support,support,39
VitaminC-Mixed,single_haiku_4opt_strong,support,refute,3
VitaminC-Mixed,single_haiku_4opt_strong,support,insufficient,6
VitaminC-Mixed,single_haiku_4opt_strong,support,conflicting,2
VitaminC-Mixed,single_haiku_4opt_strong,support,parse_failure,0
VitaminC-Mixed,single_haiku_4opt_strong,refute,support,3
VitaminC-Mixed,single_haiku_4opt_strong,refute,refute,38
VitaminC-Mixed,single_haiku_4opt_strong,refute,insufficient,8
VitaminC-Mixed,single_haiku_4opt_strong,refute,conflicting,1
VitaminC-Mixed,single_haiku_4opt_strong,refute,parse_failure,0
VitaminC-Mixed,single_haiku_4opt_strong,insufficient,support,11
VitaminC-Mixed,single_haiku_4opt_strong,insufficient,refute,11
VitaminC-Mixed,single_haiku_4opt_strong,insufficient,insufficient,25
VitaminC-Mixed,single_haiku_4opt_strong,insufficient,conflicting,3
VitaminC-Mixed,single_haiku_4opt_strong,insufficient,parse_failure,0
VitaminC-Mixed,single_haiku_4opt_strong,conflicting,support,26
VitaminC-Mixed,single_haiku_4opt_strong,conflicting,refute,18
VitaminC-Mixed,single_haiku_4opt_strong,conflicting,insufficient,1
VitaminC-Mixed,single_haiku_4opt_strong,conflicting,conflicting,55
VitaminC-Mixed,single_haiku_4opt_strong,conflicting,parse_failure,0
VitaminC-Mixed,single_sonnet_4opt_strong,support,support,37
VitaminC-Mixed,single_sonnet_4opt_strong,support,refute,6
VitaminC-Mixed,single_sonnet_4opt_strong,support,insufficient,5
VitaminC-Mixed,single_sonnet_4opt_strong,support,conflicting,2
VitaminC-Mixed,single_sonnet_4opt_strong,support,parse_failure,0
VitaminC-Mixed,single_sonnet_4opt_strong,refute,support,2
VitaminC-Mixed,single_sonnet_4opt_strong,refute,refute,36
VitaminC-Mixed,single_sonnet_4opt_strong,refute,insufficient,11
VitaminC-Mixed,single_sonnet_4opt_strong,refute,conflicting,1
VitaminC-Mixed,single_sonnet_4opt_strong,refute,parse_failure,0
VitaminC-Mixed,single_sonnet_4opt_strong,insufficient,support,15
VitaminC-Mixed,single_sonnet_4opt_strong,insufficient,refute,11
VitaminC-Mixed,single_sonnet_4opt_strong,insufficient,insufficient,22
VitaminC-Mixed,single_sonnet_4opt_strong,insufficient,conflicting,2
VitaminC-Mixed,single_sonnet_4opt_strong,insufficient,parse_failure,0
VitaminC-Mixed,single_sonnet_4opt_strong,conflicting,support,18
VitaminC-Mixed,single_sonnet_4opt_strong,conflicting,refute,14
VitaminC-Mixed,single_sonnet_4opt_strong,conflicting,insufficient,1
VitaminC-Mixed,single_sonnet_4opt_strong,conflicting,conflicting,67
VitaminC-Mixed,single_sonnet_4opt_strong,conflicting,parse_failure,0
VitaminC-Mixed,panel_3judge_3opt,support,support,41
VitaminC-Mixed,panel_3judge_3opt,support,refute,5
VitaminC-Mixed,panel_3judge_3opt,support,insufficient,4
VitaminC-Mixed,panel_3judge_3opt,support,conflicting,0
VitaminC-Mixed,panel_3judge_3opt,support,parse_failure,0
VitaminC-Mixed,panel_3judge_3opt,refute,support,3
VitaminC-Mixed,panel_3judge_3opt,refute,refute,38
VitaminC-Mixed,panel_3judge_3opt,refute,insufficient,9
VitaminC-Mixed,panel_3judge_3opt,refute,conflicting,0
VitaminC-Mixed,panel_3judge_3opt,refute,parse_failure,0
VitaminC-Mixed,panel_3judge_3opt,insufficient,support,15
VitaminC-Mixed,panel_3judge_3opt,insufficient,refute,11
VitaminC-Mixed,panel_3judge_3opt,insufficient,insufficient,24
VitaminC-Mixed,panel_3judge_3opt,insufficient,conflicting,0
VitaminC-Mixed,panel_3judge_3opt,insufficient,parse_failure,0
VitaminC-Mixed,panel_3judge_3opt,conflicting,support,52
VitaminC-Mixed,panel_3judge_3opt,conflicting,refute,25
VitaminC-Mixed,panel_3judge_3opt,conflicting,insufficient,23
VitaminC-Mixed,panel_3judge_3opt,conflicting,conflicting,0
VitaminC-Mixed,panel_3judge_3opt,conflicting,parse_failure,0
VitaminC-Mixed,panel_3judge_4opt_strong,support,support,37
VitaminC-Mixed,panel_3judge_4opt_strong,support,refute,2
VitaminC-Mixed,panel_3judge_4opt_strong,support,insufficient,6
VitaminC-Mixed,panel_3judge_4opt_strong,support,conflicting,5
VitaminC-Mixed,panel_3judge_4opt_strong,support,parse_failure,0
VitaminC-Mixed,panel_3judge_4opt_strong,refute,support,3
VitaminC-Mixed,panel_3judge_4opt_strong,refute,refute,37
VitaminC-Mixed,panel_3judge_4opt_strong,refute,insufficient,10
VitaminC-Mixed,panel_3judge_4opt_strong,refute,conflicting,0
VitaminC-Mixed,panel_3judge_4opt_strong,refute,parse_failure,0
VitaminC-Mixed,panel_3judge_4opt_strong,insufficient,support,15
VitaminC-Mixed,panel_3judge_4opt_strong,insufficient,refute,10
VitaminC-Mixed,panel_3judge_4opt_strong,insufficient,insufficient,23
VitaminC-Mixed,panel_3judge_4opt_strong,insufficient,conflicting,2
VitaminC-Mixed,panel_3judge_4opt_strong,insufficient,parse_failure,0
VitaminC-Mixed,panel_3judge_4opt_strong,conflicting,support,19
VitaminC-Mixed,panel_3judge_4opt_strong,conflicting,refute,11
VitaminC-Mixed,panel_3judge_4opt_strong,conflicting,insufficient,0
VitaminC-Mixed,panel_3judge_4opt_strong,conflicting,conflicting,70
VitaminC-Mixed,panel_3judge_4opt_strong,conflicting,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,support,support,39
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,support,refute,3
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,support,insufficient,6
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,support,conflicting,2
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,support,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,refute,support,3
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,refute,refute,38
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,refute,insufficient,8
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,refute,conflicting,1
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,refute,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,insufficient,support,11
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,insufficient,refute,11
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,insufficient,insufficient,25
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,insufficient,conflicting,3
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,insufficient,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,conflicting,support,26
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,conflicting,refute,18
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,conflicting,insufficient,1
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,conflicting,conflicting,55
VitaminC-Mixed,panel_member_4opt::claude-haiku-4-5,conflicting,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,support,support,37
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,support,refute,6
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,support,insufficient,5
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,support,conflicting,2
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,support,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,refute,support,2
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,refute,refute,36
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,refute,insufficient,11
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,refute,conflicting,1
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,refute,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,insufficient,support,15
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,insufficient,refute,11
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,insufficient,insufficient,22
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,insufficient,conflicting,2
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,insufficient,parse_failure,0
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,conflicting,support,18
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,conflicting,refute,14
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,conflicting,insufficient,1
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,conflicting,conflicting,67
VitaminC-Mixed,panel_member_4opt::claude-sonnet-4-5,conflicting,parse_failure,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,support,support,38
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,support,refute,3
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,support,insufficient,6
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,support,conflicting,3
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,support,parse_failure,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,refute,support,5
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,refute,refute,37
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,refute,insufficient,8
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,refute,conflicting,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,refute,parse_failure,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,insufficient,support,15
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,insufficient,refute,11
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,insufficient,insufficient,19
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,insufficient,conflicting,5
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,insufficient,parse_failure,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,conflicting,support,22
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,conflicting,refute,9
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,conflicting,insufficient,0
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,conflicting,conflicting,69
VitaminC-Mixed,panel_member_4opt::gpt-4o-mini,conflicting,parse_failure,0
